title	author	publisher	pub_date	sudoc	digagent	contributor	catalog_uri	availability
Title IX and sexual harassment	Smith-Rex, Susan J. Women's Educational Equity Act Resource Center. Education Development Center.	Women's Educational Equity Act (WEEA) Resource Center at EDC, Education Development Center ; U.S. Dept. of Education,	1998		google	OSU	https://catalog.hathitrust.org/Record/102604266	Full View
Report for the integrated assessment on hypoxia in the Gulf of Mexico	Doering, Otto C. (Otto Charles), 1940- Mitsch, William J. Brezonik, Patrick L. Goolsby, D. A. Solow, Andrew. Diaz, R. J. (Robert J.). Rabalais, Nancy N., 1950- NOAA Coastal Ocean Program (U.S.)	U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Ocean Service, National Centers for Coastal Ocean Science, Center for Sponsored Coastal Ocean Research--Coastal Ocean Program,	1999		google	OSU	https://catalog.hathitrust.org/Record/102604279	Full View
Proceedings	Symposium on Pulse-Combustion Applications (1982 : Atlanta, Ga.) Locklin, David W. Putnam, Abbott A. Brookhaven National Laboratory. Gas Research Institute. Battelle Memorial Institute. Columbus Laboratories. United States. National Technical Information Service.	National Technical Information Service, U.S. Dept. of Commerce,	1982		google	OSU	https://catalog.hathitrust.org/Record/102604295	Full View
Extraterrestrial life and our world view at the turn of the millennium	Dick, Steven J.	Smithsonian Institution Libraries,	2000		google	OSU	https://catalog.hathitrust.org/Record/102604328	Limited View
Selected bibliography of mass movement (1969-1976)	DeGraff, Jerome V.	USDA Intermountain Region,	1977		google	OSU	https://catalog.hathitrust.org/Record/102604344	Full View
Market potential, increasing returns, and geographic concentration	Hanson, Gordon H. (Gordon Howard) National Bureau of Economic Research.	National Bureau of Economic Research,	1998		google	OSU	https://catalog.hathitrust.org/Record/102604372	Full View
National water information system user's manual	Maddy, David V. Geological Survey (U.S.)	Dept. of the Interior, U.S. Geological Survey ; Books and Open-File Reports [distributor],	1989		google	OSU	https://catalog.hathitrust.org/Record/102604374	Full View
National water information system user's manual	Mathey, Sharon B. Geological Survey (U.S.)	Dept. of the Interior, U.S. Geological Survey ; Books and Open-File Reports [distributor],	1989		google	OSU	https://catalog.hathitrust.org/Record/102604375	Full View
Letters from the sand	United States Postal Service.	United States Post Office,	1991		google	OSU	https://catalog.hathitrust.org/Record/102604448	Limited View
Planning for materials processing in space	University of Alabama. Summer Faculty Fellows in Engineering Systems Design. George C. Marshall Space Flight Center. American Society for Engineering Education. United States. National Aeronautics and Space Administration. Office of University Affairs.	University of Alabama,	1977		google	OSU	https://catalog.hathitrust.org/Record/102604449	Limited View
User's guide for RAM	Turner, D. Bruce. Novak, Joan Hrenko, joint author. Environmental Sciences Research Laboratory.	Environmental Protection Agency, Office of Research and Development, Environmental Sciences Research Laboratory ; for sale by the National Technical Information Service,	1978	EP 1.8:US 2/2/V.1	google	OSU	https://catalog.hathitrust.org/Record/102604451	Full View
Profiles of newly independent states	United States. Department of State. Office of the Geographer.	Office of Media Services, Bureauof Public Affairs; for sale by the Superintendent of Documents, U.S. Govt. Print. Off.],	1964	S 1.119/2:1/964	google	OSU	https://catalog.hathitrust.org/Record/102604458	Limited View
Profiles of newly independent states	United States. Department of State. Office of the Geographer.	Office of Media Services, Bureauof Public Affairs; for sale by the Superintendent of Documents, U.S. Govt. Print. Off.],	1965	S 1.119/2:1	google	OSU	https://catalog.hathitrust.org/Record/102604459	Limited View
Handbook of Western reclamation techniques	Ferris, Frank K. United States. Office of Surface Mining Reclamation and Enforcement. Western Regional Coordinating Center. Office of Technology Transfer.	Office of Technology Transfer, Western Regional Coordinating Center, Office of Surface Mining Reclamation and Enforcement,	1996	I 71.4:W 527	google	OSU	https://catalog.hathitrust.org/Record/102604519	Full View
Merchant Shipping Act, 1982	Saint Vincent and the Grenadines.	Government Printing Office,	1982		google	TXU	https://catalog.hathitrust.org/Record/101307728	Limited View
The Saint Vincent constitution order, 1979	Saint Vincent.	Govt. Print. Off.,	1979		google	TXU	https://catalog.hathitrust.org/Record/101307729	Limited View
Terminology for forest landowners	Hanley, Donald P., 1947- Charbonneau, Leila. Baumgartner, David M. Washington State University. Cooperative Extension.	Washington State University, Cooperative Extension ; U.S. Dept. of Agriculture,	1996		google	UMN	https://catalog.hathitrust.org/Record/100958692	Limited View
Depression in later life	Schmall, Vicki L. Stiehl, Ruth, Lawson, LaJean.	Oregon State University Extension Service, Washington State University Cooperative Extension ; University of Idaho Cooperative Extension System ; U.S. Dept. of Agriculture,	1990		google	UIUC	https://catalog.hathitrust.org/Record/100962798	Limited View
Report	Land Clearance and Resettlement Working Party (Singapore)	Govt. Print. Off.,	1956		google	UIUC	https://catalog.hathitrust.org/Record/100964006	Limited View
Colonial art in Bahia	Lisbôa, Elísia de Carvalho, 1895- Pan American Union Bulletin, January, 1946.	U. S. Govt. Print. Off.,	1946		google	TXU	https://catalog.hathitrust.org/Record/101531161	Limited View
Federal assistance for educational purposes	Library of Congress. Legislative Reference Service. Shea, Andrew J. Miller, Helen A. United States. Congress. House. Committee on Education and Labor.	U. S. Govt. Print. Off.,	1963		google	OSU	https://catalog.hathitrust.org/Record/101729832	Limited View
Mechanics for the safety man	Homan, Sheldon William.	U.S. Dept. of Labor, Bureau of Labor Standards	1962		google	OSU	https://catalog.hathitrust.org/Record/101829060	Full View
The food industry	United States. Bureau of Foreign and Domestic Commerce. United States. Department of Commerce. United States. Bureau of Foreign and Domestic Commerce. Foodstuffs Division. United States. Bureau of Foreign and Domestic Commerce. Marketing Research Division.	Dept. of Commerce, Bureau of Foreign and Domestic Commerce,	1936		google	OSU	https://catalog.hathitrust.org/Record/102487785	Full View
Surface water supply of the United States 1953	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1955		google	UCR	https://catalog.hathitrust.org/Record/102595912	Full View
Surface water supply of the United States, 1953	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1955		google	UCR	https://catalog.hathitrust.org/Record/102595913	Full View
Surface water supply of the United States, 1951	Paulsen, Carl G.	U.S. Govt. Print. Off.,	1954		google	UCR	https://catalog.hathitrust.org/Record/102595920	Limited View
Surface water supply of the United States, 1951	Paulsen, Carl G.	U.S. Govt. Print. Off.,	1953		google	UCR	https://catalog.hathitrust.org/Record/102595922	Limited View
Surface water supply of the United States, 1951	Paulsen, Carl G.	U.S. Govt. Print. Off.,	1954		google	UCR	https://catalog.hathitrust.org/Record/102595923	Limited View
Surface water supply of the United States, 1951	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1954		google	UCR	https://catalog.hathitrust.org/Record/102595924	Full View
Surface water supply of the United States, 1951	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1953		google	UCR	https://catalog.hathitrust.org/Record/102595925	Full View
TRENDS IN SELECTED WATER-QUALITY CHARACTERISTICS, POWDER RIVER AND TRIBUTARIES, MONTANA AND WYOMING, WATER YEARS 1968-88 AND 1975-88				I 19.42/4:91-4029	google	UCR	https://catalog.hathitrust.org/Record/102595940	Full View
Hydrogeologic Setting and Preliminary Data Analysis for the Hydrologic-Budget Assessment of Lake Barco, an Acidic Seepage Lake in Putnam County, Florida , Water-Resources Investigations Report 91-4180, 1992				I 19.42/4:91-4180	google	UCR	https://catalog.hathitrust.org/Record/102595941	Full View
Water Quality Assessment of Manumelle and Winona Reservoir Systems, Central Arkansas, May 1989 - October 1992, Water-Res				I 19.42/4:93-4218	google	UCR	https://catalog.hathitrust.org/Record/102595942	Full View
WATER-QUALITY DATA FOR SHALLOW WELLS IN THE WESTERN AND SOUTHERN TULARE BASIN SAN JOAQUIN VALLEY...				I 19.42/4:92-655	google	UCR	https://catalog.hathitrust.org/Record/102595943	Full View
Proceedings of the U.S. Geological Survey Workshop on the Application of Borehole Geophysics to Ground-Water Investigations				I 19.42/4:92-4103	google	UCR	https://catalog.hathitrust.org/Record/102595944	Full View
Detailed Study Of Selenium and Other Constituents In Water, Bottom Sediment, Soil, Alfalfa, and Biota, Etc., U.S. Geological Survey, Water-Resources Investigations Report 96-4138, 1996	Geological Survey (U.S.)			I 19.42/4:96-4138	google	UCR	https://catalog.hathitrust.org/Record/102595949	Full View
Surface water supply of the United States, 1951	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1953		google	UCR	https://catalog.hathitrust.org/Record/102595954	Full View
Geochemical and isotopic composition of ground water with emphasis on sources of sulfate in the upper Floridan Aquifer in parts of Marion, Sumter, and Citrus counties, Florida	Sacks, Laura A. Geological Survey (U.S.) Southwest Florida Water Management District (Fla.)	U.S. Dept. of the Interior, U.S. Geological Survey ; Open-File Reports Section [distributor],	1996	I 19.42/4:95-4251	google	UCR	https://catalog.hathitrust.org/Record/102595964	Full View
Ground-water conditions in the Anza-Terwilliger area, with emphasis on the Cahuilla Indian Reservation, Riverside County, California, 1973-86	Woolfenden, Linda R. Bright, Daniel J. Geological Survey (U.S.) United States. Bureau of Indian Affairs.	Dept. of the Interior, U.S. Geological Survey ; Books and Open-File Reports Section [distributor],	1988	I 19.42/4:88-4029	google	UCR	https://catalog.hathitrust.org/Record/102595973	Full View
Appraisal of the water resources of the Big Sioux aquifer, Codington and Grant counties, South Dakota	Putnam, Larry D. Thompson, Ryan C. Geological Survey (U.S.) South Dakota Geological Survey.	U.S. Dept. of the Interior, U.S. Geological Survey ; Branch of Information Services [distributor],	1996	I 19.42/4:96-4275	google	UCR	https://catalog.hathitrust.org/Record/102595978	Full View
Estimation of a water budget for the central part of the western San Joaquin Valley, California	Gronberg, Jo Ann M. Belitz, Kenneth. Geological Survey (U.S.) San Joaquin Valley Drainage Program.	U.S. Dept. of the Interior, U.S. Geological Survey ; For sale by the Books and Open-File Reports Section,	1992	I 19.42/4:91-4192	google	UCR	https://catalog.hathitrust.org/Record/102595985	Full View
Study mission to South America, Africa, and Europe	United States. Congress. House. Committee on Foreign Affairs.	U.S. G.P.O.,	1983		google	UCBK	https://catalog.hathitrust.org/Record/102598499	Full View
United States Information Agency	United States Information Agency.	The Agency,	1962		google	UCBK	https://catalog.hathitrust.org/Record/102598500	Full View
Vocational education in the years ahead	United States. Office of Education. Committee to Study Postwar Problems in Vocational Education.	U. S. Govt. print. off.,	1945		google	OSU	https://catalog.hathitrust.org/Record/102602498	Full View
Pavement management system development	Hudson, W. Ronald. Pedigo, R. Daryl. joint author. Haas, R. C. G. (Ralph C. G.) joint author. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials.	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102602699	Limited View
Records of wells in Puerto Rico	McGuinness, C. L. (Charles Lee), 1914- Geological Survey (U.S.) Puerto Rico Aqueduct and Sewer Authority.	Puerto Rico Aqueduct and Sewer Service,	1946		google	OSU	https://catalog.hathitrust.org/Record/102602864	Limited View
Major oxide, trace element, and glass chemistry of Columbia River basalt samples collected between 1971 and 1977	Wright, Thomas L. (Thomas Llewellyn), 1935-	U.S. Geological Survey,	1979		google	OSU	https://catalog.hathitrust.org/Record/102602896	Full View
Conference on Environmental and Naturally Occurring Toxins in Animal Feeds and Grains Related to Animal Health, June 5, 1981, Parklawn Building, Conference Room E, Food and Drug Administration	Conference on Environmental and Naturally Occurring Toxins in Animal Feeds and Grains Related to Animal Health (1981 : Rockville, Md.) Allen, Edward H. United States. Food and Drug Administration. United States. Bureau of Veterinary Medicine.	U.S. G.P.O. ; distributed by] U.S. Dept. of Commerce, National Technical Information Service,	1984		google	OSU	https://catalog.hathitrust.org/Record/102603031	Full View
Equal educational opportunity	United States. Congress. Senate. Select Committee on Equal Educational Opportunity.	U. S. Govt. Print. Off.,	1970		google	OSU	https://catalog.hathitrust.org/Record/102603379	Full View
Brief in support of recommendation in favor of a category of general public assistance to be added to the Social security act	United States. Office of Defense Health and Welfare Services. Family Security Committee.	Federal security agency, Office of the director of defense health and welfare services	1941		google	OSU	https://catalog.hathitrust.org/Record/102603421	Full View
Protection has vindicated itself	Gallinger, Jacob H. (Jacob Harold), 1837-1918.	American Protective Tariff League,	1916		google	OSU	https://catalog.hathitrust.org/Record/102603430	Full View
Proceedings of the Conference on Primary Productivity Measurement, Marine and Freshwater	Conference on Primary Productivity Measurement, Marine and Freshwater (1961 : University of Hawaii) Doty, Maxwell Stanford. Bernice Pauahi Bishop Museum. Pacific Science Congress (10th : 1961 : Honolulu, Hawaii)	U.S. Atomic Energy Commission, Division of Technical Information,	1961		google	OSU	https://catalog.hathitrust.org/Record/102603462	Full View
Legume hays for milk production	Dawson, J. R. (James Robert), 1894-	U.S. Dept. of Agriculture,	1928	A 1.9:1573	google	OSU	https://catalog.hathitrust.org/Record/102603475	Full View
1963 census of manufactures	United States. Bureau of the Census.	U. S. Govt. Print. Off.,	1966		google	OSU	https://catalog.hathitrust.org/Record/102603494	Full View
Mathematical cartography	Graur, Alekseĭ Vasilʹevich. Pavlov, A. A.	Geo-sciences Branch, Chart Research Division, Aeronautical Chart  and Information Center,	1956		google	OSU	https://catalog.hathitrust.org/Record/102603585	Full View
Methods of simulation analysis applied to questions of geological stability of a radioactive waste depository in bedded salt	Shaw, H. R.	U.S. Geological Survey,	1980		google	OSU	https://catalog.hathitrust.org/Record/102603617	Full View
Fitting and selling shoes	Beaumont, John Appleton, 1905-	U.S. Govt. print. off.,	1945		google	OSU	https://catalog.hathitrust.org/Record/102603938	Limited View
Vocational-technical training for industrial occupations	United States. Office of Education. Consulting Committee on Vocational-Technical Training.	U.S. Govt. print. off.,	1944		google	OSU	https://catalog.hathitrust.org/Record/102603939	Full View
Preemployment trainees and war production	Cornell, Francis G. (Francis Griffith), 1906-	Federal Security Agency, U.S. Office of Education,	1943		google	OSU	https://catalog.hathitrust.org/Record/102603940	Full View
The no-action alternative research report	David A. Crane and Partners/DACP. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials.	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603967	Limited View
Bridge deck joint-sealing systems	Howard, Needles, Tammen & Bergendoff.	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603976	Limited View
Improved pavement-shoulder joint design	Barksdale, Richard D. Hicks, Russell G. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials.	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603977	Limited View
Acceptance criteria for electroslag weldments in bridges	Benter, W. P. Schilling, C. G. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials.	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603978	Limited View
Cost and safety effectiveness of highway design elements	Roy Jorgensen Associates. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials. National Research Council (U.S.). Transportation Research Board.	Transportation Research Board, National Research Council,	1978		google	OSU	https://catalog.hathitrust.org/Record/102603979	Limited View
Federal milk order market statistics, 1981	United States. Agricultural Marketing Service.	U.S. Dept. of Agriculture, Agricultural Marketing Service,	1982		google	OSU	https://catalog.hathitrust.org/Record/102603988	Full View
Industry wage survey	Kelinson, Jonathan W. United States. Bureau of Labor Statistics.	U.S. Dept. of Labor, Bureau of Labor Statistics : For sale by the Supt. of Docs., U.S. G.P.O.,	1987		google	OSU	https://catalog.hathitrust.org/Record/102603995	Full View
Productivity measures for selected industries, 1954-81	United States. Bureau of Labor Statistics.	U.S. Dept. of Labor, Bureau of Labor Statistics : For sale by the Supt. of Docs., U.S. G.P.O.,	1982		google	OSU	https://catalog.hathitrust.org/Record/102604001	Full View
Control of electrical shock hazards	Homan, Sheldon William.	U.S. Dept. of Labor, Bureau of Labor Standards; [for sale by the Superintendent of Documents, U.S. Govt. Print. Off.,	1963		google	OSU	https://catalog.hathitrust.org/Record/102604004	Full View
Workmen's compensation problems, 1963	International Association of Industrial Accident Boards and Commissions. Convention (49th : 1963 : Miami Beach (Fla.)) United States. Bureau of Labor Standards.	U. S. Bureau of Labor Standards,	1964	L 16.3: 261	google	OSU	https://catalog.hathitrust.org/Record/102604006	Limited View
Wind-tunnel research comparing lateral control devices particularly at high angles of attack	Weick, Fred E. Wenzinger, Carl J. United States. National Advisory Committee for Aeronautics.	Government Printing Office,	1932		google	OSU	https://catalog.hathitrust.org/Record/102604013	Limited View
Tabulation of the ostracode assemblages and associated organisms from selected bottom grab samples taken in the northeast Gulf of Alaska, F.R.S. Townsend Cromwell cruise EGAL-75-KC, 1975	Brouwers, Elisabeth M.	U.S. Geological Survey,	1981		google	OSU	https://catalog.hathitrust.org/Record/102604119	Full View
Catalog of earthquakes along the San Andreas fault system in central California, July-September 1973	Lester, F. W. Meagher, K. L. Kirkman, S. L. Geological Survey (U.S.)	U.S. Geological Survey,	1976		google	OSU	https://catalog.hathitrust.org/Record/102604137	Full View
Feasibility study of the conjugate gradient method for solving large sparse equation sets	Gründig, Lothar. National Geodetic Survey (U.S.) National Ocean Survey.	National Ocean Survey, National Geodetic Survey,	1980		google	OSU	https://catalog.hathitrust.org/Record/102604171	Full View
TransColorado gas transmission project, Colorado/New Mexico	United States. Bureau of Land Management. Montrose District.	U.S. Dept. of the Interior, Bureau of Land Management, Montrose District Office,	1992		google	OSU	https://catalog.hathitrust.org/Record/102604198	Full View
Efforts and wages	Leamer, Edward E. Thornberg, Christopher. National Bureau of Economic Research.	National Bureau of Economic Research,	1998		google	OSU	https://catalog.hathitrust.org/Record/102604232	Full View
20th anniversary Surface Mining Control and Reclamation Act	United States. Office of Surface Mining Reclamation and Enforcement.	U.S. Dept. of the Interior, Office of Surface Mining,	1997		google	OSU	https://catalog.hathitrust.org/Record/102604268	Full View
Leadership experience and leadership performance	Fiedler, Fred Edward. U.S. Army Research Institute for the Behavioral and Social Sciences.	U.S. Army Research Institute for the Behavioral and Social Sciences,	1994		google	OSU	https://catalog.hathitrust.org/Record/102604278	Full View
Technical report on technologically enhanced naturally occurring radioactive materials in the southwestern copper belt of Arizona	United States. Environmental Protection Agency. Radiation Protection Division. United States. Environmental Protection Agency. Office of Radiation and Indoor Air.	United States Environmental Protection Agency, Office of Radiation & Indoor Air, Radiation Protection Division,	1999		google	OSU	https://catalog.hathitrust.org/Record/102604285	Full View
Aircraft accidents	Special Committee on the Nomenclature, Subdivison, and Classification of Aircraft Accidents. United States. National Advisory Committee for Aeronautics.	Government Printing Office,	1929		google	OSU	https://catalog.hathitrust.org/Record/102604384	Full View
Advanced waste treatment for housing and community developments	Bodwell, Russell. Levitt and Sons. Municipal Environmental Research Laboratory.	Environmental Protection Agency, Office of Research and Development, Municipal Environmental Research Laboratory ; for sale by the National Technical Information Service,	1978	EP 1.23/2:600/2-78-168	google	OSU	https://catalog.hathitrust.org/Record/102604453	Full View
Unemployment compensation for transportation employees	United States. Office of Federal Coordinator of Transportation. Section of Labor Relations. Beyer, Otto Sternoff, 1886-1948.		1936		google	UIUC	https://catalog.hathitrust.org/Record/102590914	Limited View
Hydrologic effects of hypothetical earthquake-caused floods below Jackson Lake, northwestern Wyoming	Glass, William R. Rankl, James G., joint author. Keefer, Thomas N., joint author. United States. National Park Service. Geological Survey (U.S.)	U.S. Dept. of the Interior, Geological Survey,	1976	I 19.42/4:76-77	ia	IUIUC	https://catalog.hathitrust.org/Record/3787717	Full View
National archives microfilm publications in the National Archives - Great Lakes Region	Matchette, Teresa F. United States. National Archives and Records Administration.  Great Lakes Region	National Archives and Records Administration,	1990		ia	IUIUC	https://catalog.hathitrust.org/Record/4517443	Full View
Securities act of 1933 and Corporation of foreign bondholders act, 1933	Corporation Trust Company.	The Corporation Trust Co.,	1933		google	OSU	https://catalog.hathitrust.org/Record/10473410	Full View
The strength of concrete beams	Humphrey, Richard Lewis, 1869-1928.	Government Printing Office,	1908		ia	IUIUC	https://catalog.hathitrust.org/Record/11418887	Full View
L. C. printed cards	Library of Congress. Card Division Hastings, Charles Harris, 1867-1951.	Govt. Print. Off.,	1909		google	CHI	https://catalog.hathitrust.org/Record/100910857	Limited View
Memorial gardens for the Manila cemetery	Dailey, Gardner A. American Battle Monuments Commission.		1954		google	UIUC	https://catalog.hathitrust.org/Record/100963902	Limited View
Effect of age and development on butterfat production of register-of-merit Jersey and advanced-register Guernsey cattle	Graves, R. R. (Roy Ralph), 1886- Fohrman, M. H. (Milton Henry), 1886-	U.S. Dept. of Agriculture,	1925	A 1.3:1352	google	OSU	https://catalog.hathitrust.org/Record/101803809	Full View
Surface water supply of the United States 1952	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1954		google	UCR	https://catalog.hathitrust.org/Record/102595916	Limited View
Surface water supply of the United States, 1950	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1953		google	UCR	https://catalog.hathitrust.org/Record/102595926	Full View
Surface water supply of the United States, 1950	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1952		google	UCR	https://catalog.hathitrust.org/Record/102595927	Full View
Surface water supply of the United States, 1953	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1955		google	UCR	https://catalog.hathitrust.org/Record/102595958	Full View
Surface water supply of the United States, 1953	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1955		google	UCR	https://catalog.hathitrust.org/Record/102595959	Full View
Surface water supply of the United States, 1953	Geological Survey (U.S.)	U.S. Govt. Print. Off.,	1955		google	UCR	https://catalog.hathitrust.org/Record/102595962	Full View
The interrelationships of benefit programs for the elderly	Federal Council on the Aging (U.S.) Urban Institute.	FCA,	1975		google	OSU	https://catalog.hathitrust.org/Record/102602482	Limited View
Unemployment insurance	United States. Congress. House. Committee on Ways and Means.	U.S. Govt. Print. Off.,	1951		google	OSU	https://catalog.hathitrust.org/Record/102602629	Full View
NSF grant administration manual	National Science Foundation (U.S.)		1973	NS 1.20:G 76	google	OSU	https://catalog.hathitrust.org/Record/102602674	Limited View
Proceedings of the 1986 EPA/APCA Symposium on Measurement of Toxic Air Pollutants	EPA/APCA Symposium on Measurement of Toxic Air Pollutants (1986 : Raleigh, N.C.) Air Pollution Control Association. Environmental Monitoring Systems Laboratory (Research Triangle Park, N.C.) United States. Environmental Protection Agency.	The Agency ; NTIS	1986		google	OSU	https://catalog.hathitrust.org/Record/102602941	Limited View
Supplement to the messages and papers of the presidents	United States. President.	Bureau of National Literature,	1925		google	OSU	https://catalog.hathitrust.org/Record/102603065	Limited View
Vocational rehabilitation act; a compilation	United States. Congress. Senate. Committee on Labor and Public Welfare. Subcommittee on Health.	U.S. Govt. Print. Off.,	1966		google	OSU	https://catalog.hathitrust.org/Record/102603385	Full View
Theoretical considerations on discharge measurements by the Allen method	Haller, Pierre de. United States. Bureau of Reclamation.	[U.S. Bureau of Reclamation?],	1938		google	OSU	https://catalog.hathitrust.org/Record/102603449	Full View
Unemployment insurance	United States. Congress. House. Committee on Ways and Means.	U.S. Govt. Print. Off.,	1952		google	OSU	https://catalog.hathitrust.org/Record/102603451	Full View
Our Nation and the sea	United States. Commission on Marine Science, Engineering, and Resources.	U.S. Govt. Print. Off.,	1968		google	OSU	https://catalog.hathitrust.org/Record/102603455	Full View
In memoriam: Rudolph Pintner, November 16, 1884 - November 7,1942		Gallaudet College Press,	1952		google	OSU	https://catalog.hathitrust.org/Record/102603471	Full View
Strawberry insects	Campbell, Roy Elliott. Taylor, Edgar Alfred, 1921-	U.S. Dept. of Agriculture,	1965		google	OSU	https://catalog.hathitrust.org/Record/102603930	Full View
Preliminary bibliography of current periodicals, quarterlies, yearbooks, and bulletins in business education	Buckley, Harold Bailey, 1806-		1939		google	OSU	https://catalog.hathitrust.org/Record/102603944	Full View
Shoulder geometrics and use guidelines	Downs, Hugh G. Wallace, David W. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials.	Transportation Research Board, National Research Council,	1982		google	OSU	https://catalog.hathitrust.org/Record/102603960	Limited View
Methods for analyzing fuel supply limitations on passenger travel	Tardiff, Timothy J. Greene, S. (Sharon) Benham, J. L. (Joy L.)	Transportation Research Board, National Research Council,	1980		google	OSU	https://catalog.hathitrust.org/Record/102603961	Limited View
Fatigue behavior of full-scale welded bridge attachments	Fisher, John W., 1931- National Research Council (U.S.). Transportation Research Board.	Transportation Research Board, National Research Council,	1980		google	OSU	https://catalog.hathitrust.org/Record/102603962	Limited View
Bridges on secondary highways and local roads	University of Virginia. Department of Civil  Engineering. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials. Virginia. Department of Highways and Transportation. Virginia Highway & Transportation Research Council.	Transportation Research Board, National Research Council,	1980		google	OSU	https://catalog.hathitrust.org/Record/102603963	Limited View
Erosion control during highway construction	National Research Council (U.S.). Transportation Research Board. Israelsen, C. E. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials.	Transportation Research Board, National Research Council,	1980		google	OSU	https://catalog.hathitrust.org/Record/102603964	Limited View
Application of traffic conflict analysis at intersections	Glauz, William D. Migletz, Donald J. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials.	Transportation Research Board, National Research Council,	1980		google	OSU	https://catalog.hathitrust.org/Record/102603965	Limited View
The No-action alternative	Lane, J. S. (Jonathan S.) United States. Federal Highway Administration. American Association of State Highway and Transportation Officials.	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603966	Limited View
Design and traffic control guidelines for low-volume rural roads	Glennon, John C. National Research Council (U.S.). Transportation Research Board.	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603968	Limited View
Market opportunity analysis for short-range public transportation planning	Cravens, David W. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials. National Research Council (U.S.). Transportation Research Board.	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603969	Limited View
Market opportunity analysis for short-range public transportation planning	Wegmann, F. J. (Frederick J.)	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603970	Limited View
Market opportunity analysis for short-range public transportation planning	Hood, T. C. (Thomas C.)	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603971	Limited View
Market opportunity analysis for short-range public transportation planning	Wegmann, F. J. (Frederick J.) United States. Federal Highway Administration. American Association of State Highway and Transportation Officials.	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603972	Limited View
Upgrading of low-quality aggregates for PCC and bituminous pavements	Cady, P. D. (Philip Dale), 1933-	Transportation Research Board, National Research Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102603973	Limited View
Traffic control in oversaturated street networks	Polytechnic Institute of New York. Pignataro, Louis J., 1923-	Transportation Research Board, National Research Council,	1978		google	OSU	https://catalog.hathitrust.org/Record/102603980	Limited View
Crash cushions of waste materials	Marquis, E. L. Buth, Eugene. Hirsch, T. J. (Teddy James)	Transportation Research Board, National Research Council,	1975		google	OSU	https://catalog.hathitrust.org/Record/102603981	Limited View
The drag of airplane wheels, wheel fairings and landing gears	Biermann, David. Herrnstein, William H.	National Advisory Committee for Aeronautics,	1935		google	OSU	https://catalog.hathitrust.org/Record/102604012	Full View
Tests of nacelle-propeller combinations in various positions with references to wings IV	Theodorsen, Theodore. United States. National Advisory Committee for Aeronautics. Langley Aeronautical Library.	National Advisory Committee for Aeronautics,	1934		google	OSU	https://catalog.hathitrust.org/Record/102604017	Full View
Age and the income distribution	Brady, Dorothy S. (Dorothy Stahl), 1903-	U.S. Dept. of Health, Education, and Welfare, Social Security Administration, Division of Research and Statistics; [for sale by the Superintendent of Documents, U.S. Govt. Print. Off.,	1965		google	OSU	https://catalog.hathitrust.org/Record/102604024	Full View
Bibliography of cultural resource reports submitted to the Forest Service, Southwestern Region, through 1976	Green, Dee F. United States. Forest Service. Southwestern Region.	USDA Forest Service, Southwestern Region,	1977		google	OSU	https://catalog.hathitrust.org/Record/102604140	Full View
