Pauahi urban renewal project	United States. Department of Housing and Urban Development.		1973	HUD-HI-730851	google	NWU	https://catalog.hathitrust.org/Record/100916795	Full View
Edge Moor Electric Generating Station, Wilmington, Proposed expansion	Delaware River Basin Commission.		1973	DRBC-DE-700757	google	NWU	https://catalog.hathitrust.org/Record/100938995	Full View
White Mountain National Forest (N.F.), Waterville Unit plan	United States. Forest Service		1978	FS-NH-780915	google	NWU	https://catalog.hathitrust.org/Record/100978687	Full View
Daniel Boone National Forest (N.F.), Beaver Creek Eastern wilderness area, environmental statement	United States. Forest Service		1972	FS-KY-729999	google	NWU	https://catalog.hathitrust.org/Record/100972088	Full View
Water, sewerline construction grant assistance, Santa Rosa	United States. Economic Development Administration.		1972	EDA-CA-724705	google	NWU	https://catalog.hathitrust.org/Record/100916467	Full View
Easocgas, Algonquin gas LNG permits	United States. Federal Power Commission.		1974	FPC-RI-741270	google	NWU	https://catalog.hathitrust.org/Record/100932149	Full View
Analysis of DOT near-term transportation research, development, and demonstration activities	Vairin, Donald L. Humphreys, David W. Baker, Laura E. United States. National Aeronautics and Space Administration. United States. Dept. of Transportation. Jet Propulsion Laboratory (U.S.)	The Laboratory,	1978		google	NWU	https://catalog.hathitrust.org/Record/10617930	Full View
Inclusion of the Fortymile River into the National Wild and Scenic Rivers System	United States. Army. Corps of Engineers.		1973	BOR-750144	google	NWU	https://catalog.hathitrust.org/Record/100976273	Full View
TAPCO (Tenneco Atlantic Pipeline Company) project	United States. Federal Power Commission.		1977	FPC-771167	google	NWU	https://catalog.hathitrust.org/Record/100981568	Full View
Savannah River Plant waste management	United States. Energy Research and Development Administration.		1977	ERDA-SC-771225	google	NWU	https://catalog.hathitrust.org/Record/100975146	Full View
Green River project no.2563	United States. Federal Power Commission.		1972	FPC-NC-724831	google	NWU	https://catalog.hathitrust.org/Record/100975724	Full View
Everett LNG terminal	United States. Federal Power Commission.		1976	FPC-MA-761307	google	NWU	https://catalog.hathitrust.org/Record/100974389	Full View
Alabama Power Company Mitchell project no.82	United States. Federal Power Commission.		1972	FPC-AL-724191	google	NWU	https://catalog.hathitrust.org/Record/100985944	Full View
Lacassine project	United States. Federal Power Commission.		1970	FPC-LA-704820	google	NWU	https://catalog.hathitrust.org/Record/100932126	Full View
Natural gas transmission line construction and operation, Cameron Parish onshore to West Cameron area offshore, Natural Gas Pipeline Company of America	United States. Federal Power Commission.		1971	FPC-LA-719999	google	NWU	https://catalog.hathitrust.org/Record/100976440	Full View
Kern Canyon project no.178	United States. Federal Power Commission.		1972	FPC-CA-725500	google	NWU	https://catalog.hathitrust.org/Record/100974390	Full View
Savannah River regasification plant, Elba Island, Docket no. 71-264	United States. Federal Power Commission.		1971	FPC-GA-719995	google	NWU	https://catalog.hathitrust.org/Record/100973831	Full View
Crooked Creek project no.2628	United States. Federal Power Commission.		1973	FPC-AL-732020	google	NWU	https://catalog.hathitrust.org/Record/100983680	Full View
Martin Dam project no.349	United States. Federal Power Commission.		1972	FPC-AL-725092	google	NWU	https://catalog.hathitrust.org/Record/100973110	Full View
Big Creek projects no.67,120	United States. Federal Power Commission.		1976	FPC-CA-761657	google	NWU	https://catalog.hathitrust.org/Record/100984858	Full View
Tecon Gasification Company liquid hydrocarbon gasification plant at South Plainfield, NJ; Texas Eastern Terminal Company docking-storage facilities and pipelines at Staten Island, NY and South Plainfield; Texas Eastern Transmission Corp. gas pipeline facilities, Detailed environmental report B1	United States. Federal Power Commission.		1972	FPC-729999	google	NWU	https://catalog.hathitrust.org/Record/100976439	Full View
Positron-electron storage ring project, Stanford	United States. Energy Research and Development Administration.		1976	ERDA-CA-761314	google	NWU	https://catalog.hathitrust.org/Record/100973765	Full View
Water-sewer service extension, Florence	United States. Economic Development Administration.		1973	EDA-SC-730887	google	NWU	https://catalog.hathitrust.org/Record/100916476	Full View
Kaniksu National Forest (N.F.), timber management plan (ID,MT)	United States. Forest Service		1974	FS-741832	google	NWU	https://catalog.hathitrust.org/Record/100917908	Full View
Flathead National Forest (N.F.), East Shore Flathead Lake Planning Unit	United States. Forest Service		1979	FS-MT-790118	google	NWU	https://catalog.hathitrust.org/Record/100975283	Full View
I-76, Atlantic Ave to Morgan Blvd, Camden	United States. Federal Highway Administration.		1971	FHWA-NJ-716850	google	NWU	https://catalog.hathitrust.org/Record/100972493	Full View
FM-1765 from IH-45 to SH-3, Galveston County	United States. Federal Highway Administration.		1975	FHWA-TX-750698	google	NWU	https://catalog.hathitrust.org/Record/100915597	Full View
US-271 and SH-112 improvements, Le Flore County	United States. Federal Highway Administration.		1973	FHWA-OK-731381	google	NWU	https://catalog.hathitrust.org/Record/100915188	Full View
US-59 relocation, Le Flore County	United States. Federal Highway Administration.		1972	FHWA-OK-725689	google	NWU	https://catalog.hathitrust.org/Record/100914913	Full View
SR-257, Delaware County	United States. Federal Highway Administration.		1971	FHWA-OH-717503	google	NWU	https://catalog.hathitrust.org/Record/100976536	Full View
SH-6 Bypass, Falls County	United States. Federal Highway Administration.		1975	FHWA-TX-750955	google	NWU	https://catalog.hathitrust.org/Record/100915626	Full View
SR-58 improvement, Mecklenburg County	United States. Federal Highway Administration.		1975	FHWA-VA-751445	google	NWU	https://catalog.hathitrust.org/Record/100915680	Full View
Athens County Road C-23 construction	United States. Federal Highway Administration.		1972	FHWA-OH-720358	google	NWU	https://catalog.hathitrust.org/Record/100914180	Full View
FAS-15-107, Head Road (Biddle Road intersection) to Airport Road, Jackson County	United States. Federal Highway Administration.		1976	FHWA-OR-760048	google	NWU	https://catalog.hathitrust.org/Record/100975419	Full View
Project no.2715	United States. Federal Power Commission.		1972	FPC-WI-725005	google	NWU	https://catalog.hathitrust.org/Record/100975160	Full View
Loudon County, Va./Clinton County, Pa. gas line	United States. Federal Power Commission.		1974	FPC-741138	google	NWU	https://catalog.hathitrust.org/Record/100982736	Full View
Bath County project	United States. Federal Power Commission.		1975	FPC-VA-751415	google	NWU	https://catalog.hathitrust.org/Record/100913745	Full View
Matagorda Bay project	United States. Federal Power Commission.		1977	FPC-TX-771130	google	NWU	https://catalog.hathitrust.org/Record/100983744	Full View
Katchepedrakee Creek watershed, Clay County / Cleburne County / Randolph County, environmental assessment (EA)  B1; Negative declaration  B2; Watershed work plan for watershed protection and flood prevention (1964)	United States. Soil Conservation Service.		1975	SCS-AL-759986	google	NWU	https://catalog.hathitrust.org/Record/100980442	Full View
Nellis Air Force Base (AFB), F-35 force development evaluation (FDE) and Weapons School (WS) beddown	United States. Air Force.		2011	USAF-NV-110144	google	NWU	https://catalog.hathitrust.org/Record/100974877	Full View
Sabine Pass project, Natural Gas Pipeline Company of America D,F; Environmental statement	United States. Federal Power Commission.		1970	FPC-TX-700760	google	NWU	https://catalog.hathitrust.org/Record/100932122	Full View
Pony Creek watershed plan, Brown County / Nemaha County [KS] and Richardson County [NE]	United States. Soil Conservation Service.		1988	SCS-880367	google	NWU	https://catalog.hathitrust.org/Record/100985773	Full View
Kagman Watershed plan, Saipan, Commonwealth of the Northern Mariana Islands	United States. Soil Conservation Service.		1993	SCS-930328	google	NWU	https://catalog.hathitrust.org/Record/100981466	Full View
SH-22, Wautoma-Waupaca Road reconstruction, Portage/Waupaca counties	United States. Federal Highway Administration.		1977	FHWA-WI-770532	google	NWU	https://catalog.hathitrust.org/Record/100975450	Full View
Brushy Creek, Upper watershed	United States. Soil Conservation Service.		1975	SCS-AL-751047	google	NWU	https://catalog.hathitrust.org/Record/100936514	Full View
York Haven project no.1888, Susquehanna River, Dauphin  County / Lancaster County / York County	United States. Federal Power Commission.		1972	FPC-PA-729991	google	NWU	https://catalog.hathitrust.org/Record/100972413	Full View
Urban corridor demonstration program, Manhattan CBD-North Jersey corridor	United States. Dept. of Transportation. Office of the Secretary. United States. Urban Mass Transportation Administration. United States. Federal Highway Administration. Tri-State Regional Planning Commission. New Jersey. Dept. of Transportation.	U.S. Department of Transportation,	1975		google	NWU	https://catalog.hathitrust.org/Record/10640516	Full View
An overview of the environmental concerns of coal transportation	Bertram, Kenneth M. United States. Dept. of Energy. Technology Assessments Division. Argonne National Laboratory. Energy and Environmental Systems Division.	The Division,	1980		google	NWU	https://catalog.hathitrust.org/Record/10608444	Full View
Oneida St bridge and approaches construction, Local St, Appleton	United States. Federal Highway Administration.		1977	FHWA-WI-770561	google	NWU	https://catalog.hathitrust.org/Record/100976792	Full View
Zachary-Fort Lauderdale pipeline construction and conversion project	United States. Federal Power Commission.		1976	FPC-760702	google	NWU	https://catalog.hathitrust.org/Record/100932158	Full View
Trails West addition, Cottonwood mortgage insurance	United States. Department of Housing and Urban Development.		1983	HUD-WY-830015	google	NWU	https://catalog.hathitrust.org/Record/100981086	Full View
Crawford storage field	United States. Federal Power Commission.		1975	FPC-OH-750699	google	NWU	https://catalog.hathitrust.org/Record/100913740	Full View
Mush Creek watershed	United States. Soil Conservation Service.		1973	SCS-AL-732019	google	NWU	https://catalog.hathitrust.org/Record/100936492	Full View
Texas Eastern Transmission Corp. curtailment	United States. Federal Power Commission.		1976	FPC-760657	google	NWU	https://catalog.hathitrust.org/Record/100975727	Full View
Parkersburg urban renewal	United States. Department of Housing and Urban Development.		1976	HUD-WV-760659	google	NWU	https://catalog.hathitrust.org/Record/100973709	Full View
Selenium in animal feeds, Rulemaking	United States. Department of Health, Education, and Welfare.		1974	HEW-740159	google	NWU	https://catalog.hathitrust.org/Record/100916752	Full View
Transcontinental Gas Pipe Line Corp. curtailment	United States. Federal Power Commission.		1976	FPC-760270	google	NWU	https://catalog.hathitrust.org/Record/100973767	Full View
Saluda project	United States. Federal Power Commission.		1970	FPC-SC-700699	google	NWU	https://catalog.hathitrust.org/Record/100932121	Full View
Southern natural gas pipeline system curtailment	United States. Federal Power Commission.		1975	FPC-751833	google	NWU	https://catalog.hathitrust.org/Record/100973770	Full View
Monserrate Towers	United States. Department of Housing and Urban Development.		1978	HUD-PR-780769	google	NWU	https://catalog.hathitrust.org/Record/100975740	Full View
De Pere rehabilitation	United States. Department of Housing and Urban Development.		1981	HUD-WI-810111	google	NWU	https://catalog.hathitrust.org/Record/100976082	Full View
Suncrest Farms Northwest, Stevens County	United States. Department of Housing and Urban Development.		1980	HUD-WA-800154	google	NWU	https://catalog.hathitrust.org/Record/100917131	Full View
Trujillo Alto, Residential Interamerica	United States. Department of Housing and Urban Development.		1976	HUD-PR-760633	google	NWU	https://catalog.hathitrust.org/Record/100975124	Full View
Salinas solid waste disposal facilities	United States. Department of Housing and Urban Development.		1976	HUD-PR-760926	google	NWU	https://catalog.hathitrust.org/Record/100972399	Full View
Canovanas, Brisas de Loiza development	United States. Department of Housing and Urban Development.		1976	HUD-PR-760624	google	NWU	https://catalog.hathitrust.org/Record/100972334	Full View
Philadelphia Convention Complex	United States. Department of Housing and Urban Development.		1985	HUD-PA-850079	google	NWU	https://catalog.hathitrust.org/Record/100917198	Full View
San Juan, San Patricio defense housing	United States. Department of Housing and Urban Development.		1975	HUD-PR-750498	google	NWU	https://catalog.hathitrust.org/Record/100916825	Full View
Bristol, Golf Ranch/Centennial Industrial Park	United States. Department of Housing and Urban Development.		1978	HUD-PA-781185	google	NWU	https://catalog.hathitrust.org/Record/100982672	Full View
Applewood Village mortgage insurance	United States. Department of Housing and Urban Development.		1981	HUD-PA-810952	google	NWU	https://catalog.hathitrust.org/Record/100982074	Full View
Wilkes-Barre, Industrial park urban renewal	United States. Department of Housing and Urban Development.		1977	HUD-PA-771093	google	NWU	https://catalog.hathitrust.org/Record/100977083	Full View
Wimmerton planned unit development	United States. Department of Housing and Urban Development.		1977	HUD-PA-771500	google	NWU	https://catalog.hathitrust.org/Record/100973084	Full View
Coamo solid waste disposal site	United States. Department of Housing and Urban Development.		1976	HUD-PR-760382	google	NWU	https://catalog.hathitrust.org/Record/100973078	Full View
Arkansas Louisiana Gas Company curtailment	United States. Federal Power Commission.		1976	FPC-760388	google	NWU	https://catalog.hathitrust.org/Record/100975161	Full View
Philadelphia, Eastwick urban renewal	United States. Department of Housing and Urban Development.		1976	HUD-PA-760295	google	NWU	https://catalog.hathitrust.org/Record/100976391	Full View
Reading, Parks and recreation project	United States. Department of Housing and Urban Development.		1975	HUD-PA-751087	google	NWU	https://catalog.hathitrust.org/Record/100916848	Full View
Reading, Northeast industrial area development	United States. Department of Housing and Urban Development.		1975	HUD-PA-751086	google	NWU	https://catalog.hathitrust.org/Record/100916847	Full View
Housing programs and projects	United States. Department of Housing and Urban Development.		1975	HUD-PA-751084	google	NWU	https://catalog.hathitrust.org/Record/100916845	Full View
Reading, Court Street widening project	United States. Department of Housing and Urban Development.		1975	HUD-PA-751083	google	NWU	https://catalog.hathitrust.org/Record/100916844	Full View
Church-Musser urban renewal program	United States. Department of Housing and Urban Development.		1975	HUD-PA-750746	google	NWU	https://catalog.hathitrust.org/Record/100916828	Full View
Philadelphia, Grays Ferry urban renewal	United States. Department of Housing and Urban Development.		1975	HUD-PA-751176	google	NWU	https://catalog.hathitrust.org/Record/100985911	Full View
Reading, Downtown east urban renewal	United States. Department of Housing and Urban Development.		1975	HUD-PA-750829	google	NWU	https://catalog.hathitrust.org/Record/100983627	Full View
Reading, 11th and Penn residential development	United States. Department of Housing and Urban Development.		1975	HUD-PA-751085	google	NWU	https://catalog.hathitrust.org/Record/100916846	Full View
Reading, Near northwest neighborhood improvement	United States. Department of Housing and Urban Development.		1975	HUD-PA-751082	google	NWU	https://catalog.hathitrust.org/Record/100916843	Full View
Reading, Physical environment projects	United States. Department of Housing and Urban Development.		1975	HUD-PA-751081	google	NWU	https://catalog.hathitrust.org/Record/100916842	Full View
Lock Haven urban renewal	United States. Department of Housing and Urban Development.		1974	HUD-PA-741543	google	NWU	https://catalog.hathitrust.org/Record/100916815	Full View
Rio Piedras, Venus Gardens	United States. Department of Housing and Urban Development.		1978	HUD-PR-780880	google	NWU	https://catalog.hathitrust.org/Record/100974358	Full View
Oklahoma City, Shadowlake Village addition	United States. Department of Housing and Urban Development.		1978	HUD-OK-780458	google	NWU	https://catalog.hathitrust.org/Record/100972400	Full View
Wilkes-Barre urban renewal project	United States. Department of Housing and Urban Development.		1973	HUD-PA-731751	google	NWU	https://catalog.hathitrust.org/Record/100916808	Full View
Reading urban renewal project	United States. Department of Housing and Urban Development.		1973	HUD-PA-731686	google	NWU	https://catalog.hathitrust.org/Record/100916807	Full View
Milton and Turbot urban renewal projects	United States. Department of Housing and Urban Development.		1973	HUD-PA-731685	google	NWU	https://catalog.hathitrust.org/Record/100916806	Full View
Penn Susquehanna urban renewal project	United States. Department of Housing and Urban Development.		1973	HUD-PA-731633	google	NWU	https://catalog.hathitrust.org/Record/100916805	Full View
Kingston urban renewal project	United States. Department of Housing and Urban Development.		1973	HUD-PA-731632	google	NWU	https://catalog.hathitrust.org/Record/100916804	Full View
Air safety : selected review of FAA performance	United States. Congress. House. Committee on Interstate and Foreign Commerce. Special Subcommittee on Investigations.	United States Government Printing Office,	1974	Y 4.In 8/4:Ai 7/33	google	SRLF	https://catalog.hathitrust.org/Record/101797864	Full View
Cleveland demolition program	United States. Department of Housing and Urban Development.		1976	HUD-OH-760005	google	NWU	https://catalog.hathitrust.org/Record/100981525	Full View
East Tennessee Natural Gas curtailment	United States. Federal Power Commission.		1976	FPC-760692	google	NWU	https://catalog.hathitrust.org/Record/100973780	Full View
Berea, Depot Street improvement	United States. Department of Housing and Urban Development.		1976	HUD-OH-760684	google	NWU	https://catalog.hathitrust.org/Record/100976405	Full View
Long Island Sound, Disposal of dredged material	New England River Basins Commission.		1979	NERBC-790793	google	NWU	https://catalog.hathitrust.org/Record/100977133	Full View
Lake Champlain Basin water and land resource plan (NY,VT)	New England River Basins Commission.		1979	NERBC-790513	google	NWU	https://catalog.hathitrust.org/Record/100975178	Full View
The river's reach: Connecticut River Basin flood management D; 1971 report of the Citizen Review Committee on comprehensive water and related land resources investigation	New England River Basins Commission.		1976	NERBC-760177	google	NWU	https://catalog.hathitrust.org/Record/100982612	Full View
Cuyahoga County, 617-acre sewer construction	United States. Department of Housing and Urban Development.		1976	HUD-OH-761108	google	NWU	https://catalog.hathitrust.org/Record/100973100	Full View
NIH Bethesda Reservation, Revised master plan	United States. Department of Health, Education and Welfare.		1976	HEW-MD-760982	google	NWU	https://catalog.hathitrust.org/Record/100973708	Full View
United Gas Pipeline Company curtailment	United States. Federal Power Commission.		1976	FPC-760755	google	NWU	https://catalog.hathitrust.org/Record/100982737	Full View
NIH Rocky Mountain Laboratory	United States. Department of Health, Education, and Welfare.		1973	HEW-MT-730347	google	NWU	https://catalog.hathitrust.org/Record/100916749	Full View
Water supply system, minimum design	United States. Department of Housing and Urban Development.		1971	HUD-710329	google	NWU	https://catalog.hathitrust.org/Record/100974365	Full View
Lister Hill National Center for Biomedical Communications	United States. Department of Health, Education and Welfare.		1973	HEW-MD-731340	google	NWU	https://catalog.hathitrust.org/Record/100976411	Full View
Reception and Medical Center, Green Springs, Louisa County	United States. Law Enforcement Assistance Administration.		1972	LEAA-VA-724900	google	NWU	https://catalog.hathitrust.org/Record/100985432	Full View
Chicago, Milwaukee, St.Paul and Pacific Railroad Company abandonment, Snoqualmie Falls to Monroe, ETAS	United States. Interstate Commerce Commission.		1974	ICC-WA-749991	google	NWU	https://catalog.hathitrust.org/Record/100977315	Full View
Southern Pacific Transportation Company abandonment of trackage rights over Missouri Pacific Railroad, Harlingen to Placedo and construction and operation of lines  between Missouri Pacific Railroad and Texas Mexican  Railway at Robstown, ETAS	United States. Interstate Commerce Commission.		1976	ICC-TX-769959	google	NWU	https://catalog.hathitrust.org/Record/100977289	Full View
Oregon-Washington Railroad and Navigation Company and Union Pacific Railroad Company abandonment, McKay to Alto, ETAS	United States. Interstate Commerce Commission.		1975	ICC-WA-759979	google	NWU	https://catalog.hathitrust.org/Record/100976687	Full View
Southern Pacific Transportation Company abandonment between Bonita Junction and Seagoville	United States. Interstate Commerce Commission.		1978	ICC-TX-780826	google	NWU	https://catalog.hathitrust.org/Record/100972675	Full View
Chicago and North Western Transportation Company Doland-Watertown line; Railroad impact study	United States. Interstate Commerce Commission.		1975	ICC-SD-759986	google	NWU	https://catalog.hathitrust.org/Record/100973947	Full View
Union Pacific Railroad Company abandonment, portion Encampment Branch, Cow Creek to Encampment, ETAS	United States. Interstate Commerce Commission.		1974	ICC-WY-749990	google	NWU	https://catalog.hathitrust.org/Record/100972681	Full View
Pasadena police heliport project no.0888	United States. Law Enforcement Assistance Administration.		1973	LEAA-CA-731919	google	NWU	https://catalog.hathitrust.org/Record/100917201	Full View
Bellefonte Central Railroad Company abandonment between Chemical and State College, Centre County, ETAS	United States. Interstate Commerce Commission.		1975	ICC-PA-759971	google	NWU	https://catalog.hathitrust.org/Record/100974639	Full View
Fairmont, Morgantown and Pittsburgh Railroad Company and Baltimore and Ohio Railroad Company abaondonment, portion Smithfield-Masontown branch, Strum to Leckrone, ETAS	United States. Interstate Commerce Commission.		1976	ICC-PA-769976	google	NWU	https://catalog.hathitrust.org/Record/100976663	Full View
Seaboard Coast Line Railroad Company abandonment between Ashwood and Sumter, ETAS	United States. Interstate Commerce Commission.		1976	ICC-SC-769979	google	NWU	https://catalog.hathitrust.org/Record/100975933	Full View
East Cooper and Berkeley Railroad Company, Construction and operation of railroad in Berkeley County	United States. Interstate Commerce Commission.		1977	ICC-SC-770553	google	NWU	https://catalog.hathitrust.org/Record/100974565	Full View
Texas and Pacific Railway Company abandonment, Barnsdall to Pawhuska; Atchison, Topeka, and Santa Fe Railway Company abandonment, Cushing to Shawnee; Missouri-Kansas-Texas Railroad Company abandonment, Bartlesville to Oklahoma City and trackage rights over Chicago, Rock Island and Pacific Railroad, McAlester to Oklahoma City, ETAS	United States. Interstate Commerce Commission.		1976	ICC-OK-769972	google	NWU	https://catalog.hathitrust.org/Record/100973353	Full View
Oregon-Washington Railroad and Navigation Company and Union Pacific Railroad Company abandonment, portion Pendleton Branch, milepost 0.00 to milepost 17.03, ETAS	United States. Interstate Commerce Commission.		1975	ICC-OR-759972	google	NWU	https://catalog.hathitrust.org/Record/100973317	Full View
Great Plains Railway Company abandonment, liquidation and dissolution of line between Seward and Superior, ETAS	United States. Interstate Commerce Commission.		1975	ICC-NE-759993	google	NWU	https://catalog.hathitrust.org/Record/100977364	Full View
Bus passenger fare increases, NYC to NY and NJ commuting area, ETAS	United States. Interstate Commerce Commission.		1978	ICC-NY-789978	google	NWU	https://catalog.hathitrust.org/Record/100975992	Full View
Southern Railway Company and Transylvania Railroad Company abandonment between Brerard and Rosman, ETAS	United States. Interstate Commerce Commission.		1978	ICC-NC-789976	google	NWU	https://catalog.hathitrust.org/Record/100974623	Full View
Chesapeake and Ohio Railway Company abandonment of Pomeroy Branch, Hocking/Vinton/Gallia/Meigs counties, ETAS	United States. Interstate Commerce Commission.		1974	ICC-OH-749997	google	NWU	https://catalog.hathitrust.org/Record/100974588	Full View
Baltimore and Ohio Railroad Company abandoment, portion Sandusky Branch, Willard to Wilmer, ETAS	United States. Interstate Commerce Commission.		1976	ICC-OH-769966	google	NWU	https://catalog.hathitrust.org/Record/100974571	Full View
Baltimore and Ohio Railroad Company abandonment, portion Ohio and Little Kanawha Branch, Relief to Philo, ETAS	United States. Interstate Commerce Commission.		1976	ICC-OH-769967	google	NWU	https://catalog.hathitrust.org/Record/100973932	Full View
Regional water system, Hope	United States. Economic Development Administration.		1980	EDA-AR-800705	google	NWU	https://catalog.hathitrust.org/Record/100916493	Full View
Port of Anchorage proposed expansion	United States. Economic Development Administration.		1973	EDA-AK-730785	google	NWU	https://catalog.hathitrust.org/Record/100916475	Full View
Birch Creek National Wild River	United States. Bureau of Outdoor Recreation.		1975	BOR-AK-750146	google	NWU	https://catalog.hathitrust.org/Record/100917500	Full View
New River South Fork, National wild and scenic river(s) (NWSR), proposed	United States. Bureau of Outdoor Recreation.		1976	BOR-NC-760376	google	NWU	https://catalog.hathitrust.org/Record/100976936	Full View
Abandonment of rail service, southwest Wisconsin	United States. Interstate Commerce Commission.		1978	ICC-WI-780693	google	NWU	https://catalog.hathitrust.org/Record/100973341	Full View
Duluth, Missabe, and Iron Range Railway Company abandonment between Alborn and Pengilly, ETAS	United States. Interstate Commerce Commission.		1976	ICC-MN-769992	google	NWU	https://catalog.hathitrust.org/Record/100977292	Full View
Chicago, Milwaukee, St.Paul and Pacific Railroad Company abandonment between Heath and Grass Range, ETAS	United States. Interstate Commerce Commission.		1973	ICC-MT-739999	google	NWU	https://catalog.hathitrust.org/Record/100977280	Full View
Chicago and North Western Transportation Company abandonment between Lake Crystal and Winnebago, ETAS	United States. Interstate Commerce Commission.		1978	ICC-MN-789973	google	NWU	https://catalog.hathitrust.org/Record/100974608	Full View
Norfolk Southern Railway Company abandonment of operations, Dickerson Spur to Bayboro, Craven/Pamlico counties, ETAS	United States. Interstate Commerce Commission.		1976	ICC-NC-769995	google	NWU	https://catalog.hathitrust.org/Record/100972652	Full View
Raleigh, Six Forks North-Mine Valley subdivision	United States. Department of Housing and Urban Development.		1978	HUD-NC-780779	google	NWU	https://catalog.hathitrust.org/Record/100985886	Full View
Glacier National Park (N.P.), proposed sewage treament facilities for Rising Star and St.Mary	United States. National Park Service.		1973	NPS-MT-730583	google	NWU	https://catalog.hathitrust.org/Record/100972733	Full View
Unalakleet National Wild River	United States. Bureau of Outdoor Recreation.		1975	BOR-AK-750145	google	NWU	https://catalog.hathitrust.org/Record/100917501	Full View
Lonergan Lake disposition	United States. Department of Housing and Urban Development.		1978	HUD-NE-780111	google	NWU	https://catalog.hathitrust.org/Record/100975108	Full View
Wingate apartments	United States. Department of Housing and Urban Development.		1972	HUD-NH-725093	google	NWU	https://catalog.hathitrust.org/Record/100916776	Full View
Burnswick County water system	United States. Department of Housing and Urban Development.		1976	HUD-NC-760164	google	NWU	https://catalog.hathitrust.org/Record/100983624	Full View
Burlington, Great Alamance Creek project	United States. Department of Housing and Urban Development.		1977	HUD-NC-770969	google	NWU	https://catalog.hathitrust.org/Record/100979380	Full View
Winston-Salem State University project, community development project no.3	United States. Department of Housing and Urban Development.		1977	HUD-NC-770307	google	NWU	https://catalog.hathitrust.org/Record/100975690	Full View
Report on the mutual security program by the Citizens Foreign Aid Committee and comments supplied by the Dept. of State, the Dept. of the Treasury, the Dept. of Defense, and the International Cooperation Administration . . .	Citizens Foreign Aid Committee (U.S.) United States. Congress. House. Committee on Foreign Affairs. United States. Department of State.	U.S. Govt. Print. Off.,	1959		google	SRLF	https://catalog.hathitrust.org/Record/101797481	Full View
Asheville, Eagle-Market Street	United States. Department of Housing and Urban Development.		1978	HUD-NC-780777	google	NWU	https://catalog.hathitrust.org/Record/100974364	Full View
Winston-Salem, Proposed office and bus maintenance facility 10-1/2 St NDP area, Memorandum	United States. Department of Housing and Urban Development.		1974	HUD-NC-749999	google	NWU	https://catalog.hathitrust.org/Record/100973065	Full View
East Winston community development project	United States. Department of Housing and Urban Development.		1976	HUD-NC-760572	google	NWU	https://catalog.hathitrust.org/Record/100972338	Full View
Omaha, East area relocation and land development	United States. Department of Housing and Urban Development.		1976	HUD-NE-760188	google	NWU	https://catalog.hathitrust.org/Record/100976393	Full View
Roxborough State Park, proposed	United States. Bureau of Outdoor Recreation.		1974	BOR-CO-740174	google	NWU	https://catalog.hathitrust.org/Record/100917515	Full View
Illinois Beach acquisition, Lake County	United States. Bureau of Outdoor Recreation.		1973	BOR-IL-730146	google	NWU	https://catalog.hathitrust.org/Record/100917535	Full View
Soul City new community	United States. Department of Housing and Urban Development.		1972	HUD-NC-721889	google	NWU	https://catalog.hathitrust.org/Record/100934288	Full View
Charlottte, First Ward urban renewal	United States. Department of Housing and Urban Development.		1973	HUD-NC-730953	google	NWU	https://catalog.hathitrust.org/Record/100916801	Full View
Village Nine subdivision mortgage insurance	United States. Department of Housing and Urban Development.		1981	HUD-CO-810166	google	NWU	https://catalog.hathitrust.org/Record/100985402	Full View
Beaver Creek National Wild River, proposed	United States. Bureau of Outdoor Recreation.		1975	BOR-AK-750017	google	NWU	https://catalog.hathitrust.org/Record/100917502	Full View
Menoken Golf Course subdivision mortgage insurance	United States. Department of Housing and Urban Development.		1981	HUD-CO-810112	google	NWU	https://catalog.hathitrust.org/Record/100978913	Full View
Colorado Springs areawide	United States. Department of Housing and Urban Development.		1982	HUD-CO-820331	google	NWU	https://catalog.hathitrust.org/Record/100975373	Full View
Upper Iowa River, Acquisition	United States. Bureau of Outdoor Recreation.		1974	BOR-IA-740882	google	NWU	https://catalog.hathitrust.org/Record/100917513	Full View
Cottonwood housing development mortgage insurance	United States. Department of Housing and Urban Development.		1981	HUD-CO-810475	google	NWU	https://catalog.hathitrust.org/Record/100983180	Full View
Highlands Ranch housing development	United States. Department of Housing and Urban Development.		1981	HUD-CO-810599	google	NWU	https://catalog.hathitrust.org/Record/100981088	Full View
Off-road vehicles on public lands, implementation of Executive Order 11644	United States. Bureau of Outdoor Recreation.		1974	BOR-740075	google	NWU	https://catalog.hathitrust.org/Record/100935066	Full View
Shenandoah new community	United States. Department of Housing and Urban Development.		1972	HUD-GA-725718	google	NWU	https://catalog.hathitrust.org/Record/100934293	Full View
Shaw School urban renewal plan	United States. Department of Housing and Urban Development.		1973	HUD-DC-730911	google	NWU	https://catalog.hathitrust.org/Record/100916799	Full View
Potomac Heritage National Scenic Trail	United States. Bureau of Outdoor Recreation.		1975	BOR-750293	google	NWU	https://catalog.hathitrust.org/Record/100917499	Full View
Sunrise Ridge development mortgage insurance	United States. Department of Housing and Urban Development.		1980	HUD-CO-800954	google	NWU	https://catalog.hathitrust.org/Record/100974048	Full View
Dade County neighborhood development program	United States. Department of Housing and Urban Development.		1975	HUD-FL-750970	google	NWU	https://catalog.hathitrust.org/Record/100973079	Full View
