title	author	publisher	pub_date	sudoc	digagent	contributor	ht_link	availability
1997 update report on review of state non-federal dam safety programs	Spragens, Lori C. United States. Federal Emergency Management Agency. Mitigation Directorate. Association of State Dam Safety Officials.	Federal Emergency Management Agency, Mitigation Directorate,	1998		google	UCR	https://catalog.hathitrust.org/Record/102224217	Full View
Notes for construction of earth and rock-fill dams course	Soils and Pavements Laboratory (U.S.)	U.S. Army Engineer Waterways Experiment Station, Corps of Engineers, [1971?]			google	UCR	https://catalog.hathitrust.org/Record/102224220	Full View
Proceedings of the 41st Meeting of the Coastal Engineering Research Board	Coastal Engineering Research Board. Meeting (41st : 1984 June 5-7 : Seattle, Wash.) Whalin, Robert W. (Robert Warren) United States. Army. Corps of Engineers. United States. Army. Corps of Engineers. Seattle District. Coastal Engineering Research Center (U.S.)	Coastal Engineering Research Center, US Army Engineer Waterways Experiment Station ; Available from National Technical Information Service], 1984.	1984		google	UCR	https://catalog.hathitrust.org/Record/102224238	Full View
Proceedings of the 42nd Meeting of the Coastal Engineering Research Board	Coastal Engineering Research Board. Meeting (42nd : 1984 Dec. 11-13 : Chicago, Ill.) Whalin, Robert W. (Robert Warren) United States. Army. Corps of Engineers. United States. Army. Corps of Engineers. North Central Division. Coastal Engineering Research Center (U.S.)	Coastal Engineering Research Center, US Army Engineer Waterways Experiment Station ; Available from National Technical Information Service], 1984.	1985		google	UCR	https://catalog.hathitrust.org/Record/102224239	Full View
Proceedings of the 44th Meeting of the Coastal Engineering Research Board	Coastal Engineering Research Board. Meeting (44th : 1985 Nov. 4-6 : Sausalito, Calif.) Houston, James R. (James Robert), 1947- United States. Army. Corps of Engineers. Coastal Engineering Research Center (U.S.)	Coastal Engineering Research Center, U.S. Army Engineer Waterways Experiment Station ; Available from National Technical Information Service],	1986		google	UCR	https://catalog.hathitrust.org/Record/102224240	Full View
The direction of coastal engineering in the Corps and the resulting impact on R & D	Coastal Engineering Research Board. Meeting (63rd : 1996 : San Diego, Calif.) Coastal Engineering Research Center (U.S. Army Engineer Waterways Experiment Station) United States. Army. Corps of Engineers. Los Angeles District.	The District,	1996		google	UCR	https://catalog.hathitrust.org/Record/102224253	Full View
Regional sediment management	Coastal Engineering Research Board. Meeting (71st : 2000 : Dana Point, Calif.) United States. Army. Corps of Engineers. Los Angeles District.	US Army Corps of Engineers, Los Angeles District,	2000		google	UCR	https://catalog.hathitrust.org/Record/102224255	Full View
Visit of the Coastal Engineering Research Board to the North Pacific Division, 18 April-20 April 1972	United States. Army. Corps of Engineers. North Pacific Division. Coastal Engineering Research Center (U.S.)	North Pacific Division Corps of Engineers,	1972		google	UCR	https://catalog.hathitrust.org/Record/102224259	Full View
Some aspects of the New York University mathematical model of the ocean for oceanographic forecasting	Ōkubo, Akira. New York University. Department of Meteorology and Oceanography. United States. Office of Naval Research.	New York University School of Engineering and Science, Dept. of Meteorology and Oceanography,	1970		google	UCR	https://catalog.hathitrust.org/Record/102224273	Full View
Letter to Beverly Getzen and Orville T. Magoon, Army Corps of Engineers, transmitting "model" wave climate report for comment	Baer, Ledolph. Magoon, Orville T. Getzen, Beverly. United States. Army. Corps of Engineers. South Pacific Division. United States. National Oceanic and Atmospheric Administration.	National Oceanic and Atmospheric Administration,	1983		google	UCR	https://catalog.hathitrust.org/Record/102224275	Full View
The breaking of ocean surface waves	Griffin, Owen M. Naval Research Laboratory (U.S.)	Naval Research Laboratory ; reproduced by National Technical Information Service, U.S. Dept. of Commerce,	1984		google	UCR	https://catalog.hathitrust.org/Record/102224276	Full View
A quantitative analysis of seabed sheer modulus inversions from experiments on the New Jersey shelf in August 1986	United States. Office of Naval Research. Rosenstiel School of Marine and Atmospheric Science. Trevorrow, Mark V.	Universtiy of Miami, Rosenstiel School of Marine and Atmospheric Science,	1987		google	UCR	https://catalog.hathitrust.org/Record/102224279	Full View
Atlantic coast hindcast, deepwater, significant wave information	Corson, William D. United States. Army. Office of the Chief of Engineers. Hydraulics Laboratory (U.S.)	U.S. Army Engineer Waterways Experiment Station ; available from NTIS,	1981		google	UCR	https://catalog.hathitrust.org/Record/102224283	Full View
Hindcast wave information for the Great Lakes	Driver, David B. Hubertz, Jon M. Reinhard, Robin D. U.S. Army Engineer Waterways Experiment Station. Coastal Engineering Research Center (U.S.) United States. Army. Corps of Engineers.		1991		google	UCR	https://catalog.hathitrust.org/Record/102224285	Full View
The estimation of wind-wave generation in a discrete spectral model	Resio, Donald T. United States. Army. Corps of Engineers. Hydraulics Laboratory (U.S.) Wave Information Studies of the U.S. Coastlines.	The Station ; available from NTIS,	1982		google	UCR	https://catalog.hathitrust.org/Record/102224284	Full View
Hindcast wave information for the Great Lakes	Driver, David B. Hubertz, Jon M. Reinhard, Robin D. U.S. Army Engineer Waterways Experiment Station. Coastal Engineering Research Center (U.S.) United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station ; Available from National Technical Information Service,	1992		google	UCR	https://catalog.hathitrust.org/Record/102224286	Full View
Hindcast wave information for the Great Lakes	Hubertz, Jon M. Reinhard, Robin D. Driver, David B. Coastal Engineering Research Center (U.S.) U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station ; Available from National Technical Information Service,	1991		google	UCR	https://catalog.hathitrust.org/Record/102224287	Full View
Hindcast wave information for the Great Lakes	Reinhard, Robin D. Hubertz, Jon M. Driver, David B. Coastal Engineering Research Center (U.S.) U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station ; Available from National Technical Information Service,	1991		google	UCR	https://catalog.hathitrust.org/Record/102224288	Full View
Hindcast wave information for the Great Lakes	Reinhard, Robin D. Hubertz, Jon M. Driver, David B. U.S. Army Engineer Waterways Experiment Station. Coastal Engineering Research Center (U.S.) United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station ; Available from National Technical Information Service,	1991		google	UCR	https://catalog.hathitrust.org/Record/102224669	Full View
QTSAW (Quick Typhoon Surge and Waves)	Tracy, Barbara A. U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station : Available from National Technical Information Service,	1995		google	UCR	https://catalog.hathitrust.org/Record/102224670	Full View
Hindcasting swell from the southern ocean along the U.S. Pacific Coast	Hubertz, Jon M. Farrar, Paul D. Payne, Jane B. U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station,	1995		google	UCR	https://catalog.hathitrust.org/Record/102224671	Full View
Simbat theoretical manual	Borgman, Leon E. Shields, David R. Bartel, Warren A. Naval Civil Engineering Laboratory (Port Hueneme, Calif.) United States. Naval Facilities Engineering Command.	Naval Civil Engineering Laboratory,	1993		google	UCR	https://catalog.hathitrust.org/Record/102224673	Full View
On the detection of "inertial" waves with pycnocline followers	Rooth, Claes. Düing, Walter. Rosenstiel School of Marine and Atmospheric Science. United States. Office of Naval Research.	University of Miami, Rosenstiel School of Marine and Atmospheric Sciences,	1970		google	UCR	https://catalog.hathitrust.org/Record/102224675	Full View
Tsunami	Augulis, Richard P. United States. Weather Bureau. Western Region.	U.S. Dept. of Commerce, Environmental Science Services Administration, Weather Bureau, Western Region,	1970		google	UCR	https://catalog.hathitrust.org/Record/102224677	Full View
1997-1999 activities of the Tsunami Mitigation Subcommittee	National Tsunami Hazard Mitigation Program. Steering Committee. Tsunami Mitigation Subcommittee. Mullin, Jeanette. Jonientz-Trisler, Chris.	The Subcommittee,	1999		google	UCR	https://catalog.hathitrust.org/Record/102224695	Full View
Tsunami risk reduction for the United States	United States Group on Earth Observations. National Science and Technology Council (U.S.). Subcommittee on Disaster Reduction.	National Science and Technology Council,	2005		google	UCR	https://catalog.hathitrust.org/Record/102224699	Full View
USGS Tsunami Sources Workshop 2006	USGS Tsunami Sources Workshop (2006 : Menlo Park, Calif.) Geological Survey (U.S.) Coastal and Marine Geology Program (Geological Survey) Earthquake Hazards Program (Geological Survey)	U.S. Geological Survey,	2006		google	UCR	https://catalog.hathitrust.org/Record/102224700	Full View
Wind and wave summaries for selected U.S. Coast Guard operating areas	Paskausky, David. National Climatic Data Center (U.S.) United States. Coast Guard. Office of Research and Development.	U.S. Coast Guard, Office of Research and Development ; National Technical Information Service,	1983	TD 5.25/2:11-83	google	UCR	https://catalog.hathitrust.org/Record/102224702	Full View
Field Wave Gaging Program wave data user's needs survey	Field Wave Gaging Program (U.S.) Coastal Engineering Research Center (U.S. Army Engineer Waterways Experiment Station) U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers. Neptune Sciences, Inc.	U.S. Army Engineer Waterways Experiment Station,	1995		google	UCR	https://catalog.hathitrust.org/Record/102224703	Full View
Surf zone currents	Basco, David R. Coleman, Rod A. Coastal Engineering Research Center (U.S.)	U.S. Army, Corps of Engineers, Coastal Engineering Research Center,	1982		google	UCR	https://catalog.hathitrust.org/Record/102224706	Full View
Determination of land elevation changes using tidal data	Abreu, Francisco António Torres Vidal. Naval Postgraduate School (U.S.)	Naval Postgraduate School,	1980		google	UCR	https://catalog.hathitrust.org/Record/102224708	Full View
Computational techniques for tidal datums handbook	United States. National Oceanic and Atmostpheric Administration.	National Oceanic and Atmospheric Administration, National Ocean Service, Center for Operational Products and Services,	2003		google	UCR	https://catalog.hathitrust.org/Record/102224709	Full View
Evaluation of a numerical model for wave-and wind-induced nearshore circulation using field data	Allender, J. H. Argonne National Laboratory. Energy and Environmental Systems Division. U.S. Nuclear Regulatory Commission. Division of Health, Siting, and Waste Management.	The Commission : Available from GPO Sales Program, Division of Technical Information and Document Control, U.S. Nuclear Regulatory Commission ; National Technical Information Service,	1981	Y 3.N 88:25/1210	google	UCR	https://catalog.hathitrust.org/Record/102224710	Full View
Beach nourishment with dredged material	Mugler, Mark W. Water Resources Support Center (U.S.)	U.S. Army Engineer Institute for Water Resources, Water Resources Support Center,	1981		google	UCR	https://catalog.hathitrust.org/Record/102224713	Full View
Shoreline erosion due to extreme storms and sea level rise	Dean, Robert George. Coastal and Oceanographic Engineering Dept., University of Florida. University of Florida. Coastal and Oceanographic Engineering Department.	University of Florida, Coastal and Oceanographic Engineering Department,	1983		google	UCR	https://catalog.hathitrust.org/Record/102224717	Full View
Help yourself	United States. Army. Corps of Engineers. Pacific Ocean Division.	United States Army, Corps of Engineers, Pacific Ocean Division,	1979		google	UCR	https://catalog.hathitrust.org/Record/102224728	Full View
Study of public use of jetties, groins and breakwaters for recreational activities	Comiskey, James J. U.S. Army Engineer Institute for Water Resources.	U.S. Army Corps of Engineers, Institute for Water Resources, Water Resources Support Center,	1984		google	UCR	https://catalog.hathitrust.org/Record/102224732	Full View
Apparent wasting index of embankments	Teruaki, Furudoi. Motoharu, Iguchi. Coastal Engineering Research Center (U.S.)	Dept. of the Army, Coastal Engineering Research Center,	1977		google	UCR	https://catalog.hathitrust.org/Record/102224736	Full View
The world distribution of nearshore calcareous sand and its early diagenesis	Malloy, R. J. Naval Civil Engineering Laboratory (Port Hueneme, Calif.)	Naval Civil Engineering Laboratory,	1983		google	UCR	https://catalog.hathitrust.org/Record/102224737	Full View
Interaction of seawalls and beaches	Griggs, Gary B. Coastal and Hydraulics Laboratory (U.S. Army Engineer Waterways Experiment Station) U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station,	1997		google	UCR	https://catalog.hathitrust.org/Record/102224739	Full View
Estimate of national hydroelectric power potential at existing dams	McDonald, Richard J., 1947- United States. Army. Institute for Water Resources.	Dept. of Defense, Dept. of the Army, Corps of Engineers, Institute for Water Resources,	1977		google	UCR	https://catalog.hathitrust.org/Record/102224347	Full View
Concrete ships and vessels	Liu, Tony C. MacDonald, J. E. (James Earl), 1908- Waterways Experiment Station (U.S.) United States. Army. Corps of Engineers.	Dept. of Defense, Dept. of the Army, Corps of Engineers, Waterways Experiment Station, Concrete Laboratory ;	1977		google	UCR	https://catalog.hathitrust.org/Record/102224745	Full View
Identification of selected small-scale dams suitable for hydroelectric power development	United States. Army. Institute for Water Resources.	The Institute,	1978		google	UCR	https://catalog.hathitrust.org/Record/102224351	Full View
A recreation success through Federal/private cooperation	United States. Heritage Conservation and Recreation Service. Water Resources Section. LaVance, Helen T.	The Section,	1979		google	UCR	https://catalog.hathitrust.org/Record/102224352	Full View
Analysis of environmental issues related to small scale hydroelectric development, II	Bell, Milo C. Hildebrand, S. G. Oak Ridge National Laboratory. Environmental Sciences Division.	Oak Ridge National Laboratory,	1980		google	UCR	https://catalog.hathitrust.org/Record/102224354	Full View
Two economic papers	United States. Department of Energy. Division of Hydroelectric Resource Development. Franklin Pierce Law Center. Energy Law Institute.	U.S. Dept. of Energy, Industrial and Utility Applications and Operations, Division of Hydroelectric Resources Development ; available NTIS,	1980		google	UCR	https://catalog.hathitrust.org/Record/102224358	Full View
Analysis of environmental issues related to small-scale hydroelectric development, IV	Turbak, Susan C. Shriner, Carole R. Reichle, Donna R. Oak Ridge National Laboratory. Environmental Sciences Division.	Oak Ridge National Laboratory ; available from NTIS,	1981		google	UCR	https://catalog.hathitrust.org/Record/102224356	Full View
Analysis of environmental issues related to small-scale hydroelectric development VI	Cada, Glenn F. Oak Ridge National Laboratory. Environmental Sciences Division.	Oak Ridge National Laboratory ; available from NTIS,	1982		google	UCR	https://catalog.hathitrust.org/Record/102224357	Full View
Small scale hydroelectric power cost estimates	Hydrologic Engineering Center (U.S.) Davis, Calif. Water Resources Support Center (U.S.) Fort Belvoir, Va.	U.S. Army Corps of Engineers, Water Resources Support Center, Hydrologic Engineering Center,	1983		google	UCR	https://catalog.hathitrust.org/Record/102224359	Full View
Legal factors affecting the financing of small scale hydroelectric projects	Forgione, Nicholas. Ringo, Martin J. Energy Law Institute.	The Institute ; available from National Technical Information Service,	1983		google	UCR	https://catalog.hathitrust.org/Record/102224360	Full View
Small scale hydropower program legal and institutional aspects project monitor reports	United States. Department of Energy. Idaho Operations Office. Energy Law Institute.	U.S. Dept. of Energy, Idaho Operations Office ; available from NTIS,	1985		google	UCR	https://catalog.hathitrust.org/Record/102224362	Full View
DOE small-scale hydropower program annual report 1985	Rinehart, Bennie N. Sommers, Garold L. Chappell, John R. EG & G Idaho. United States. Department of Energy. Idaho Operations Office.	U.S. Dept. of Energy, Idaho Operations Office ;	1985		google	UCR	https://catalog.hathitrust.org/Record/102224363	Full View
Small-hydropower development	Cunningham, Carol H. Electric Power Research Institute. Morrison-Knudsen Engineers, Inc. United States. Department of Energy.	U.S. Dept. of Energy, Office of Scientific and Technical Information ; National Technical Information Service,	1985		google	UCR	https://catalog.hathitrust.org/Record/102224364	Full View
Schneider lift translator system low head hydro feasibility study	Schneider, Daniel J., 1927- Schneider Lift Translator Co. United States. Department of Energy.	Dept. of Energy] ; available from National Technical Information Service,	1979		google	UCR	https://catalog.hathitrust.org/Record/102224366	Full View
R & D for improved efficiency small steam turbines	Northern Research and Engineering Corporation. United States. Department of Energy. San Francisco Operations Office.	Dept. of Energy ; available from National Technical Information Service,	1980		google	UCR	https://catalog.hathitrust.org/Record/102224367	Full View
Redesign of turbine pump impeller and diffuser using hydrodynamic design techniques	Hamrick, Joseph T. Aerospace Research Corporation. United States. Department of Energy.	Aerospace Research Corporation ; Available from the National Technical Information Service,	1980		google	UCR	https://catalog.hathitrust.org/Record/102224368	Full View
Hydraulic model studies on bulb turbine intakes	Pugh, C. A. Engineering and Research Center (U.S.)	Engineering and Research Center, U.S. Dept. of the Interior, Bureau of Reclamation ; Available from the National Technical Information Service,	1983		google	UCR	https://catalog.hathitrust.org/Record/102224370	Full View
Powerhouse-gate concept definition study	Mayo, Howard A. Allis-Chalmers Corporation. United States. Department of Energy.	Allis-Chalmers Corporation ; U.S. Department of Energy],	1981		google	UCR	https://catalog.hathitrust.org/Record/102224373	Full View
Draft tube surges	Falvey, Henry T. Engineering and Research Center (U.S.)	Bureau of Reclamation, Engineering and Research Center,	1971		google	UCR	https://catalog.hathitrust.org/Record/102224374	Full View
U.S.D.A. Forest Service environmental statement of a proposal to construct a single 345 KV powerline from Waterflow, New Mexico, to Tucson, Arizona, by the Tucson Gas and Electric Company	United States. Forest Service. Tucson Gas & Electric Co.	U.S. Forest Service,	1971		google	UCR	https://catalog.hathitrust.org/Record/102224375	Full View
Marketability of low-head hydropower	Lee, Stephen T. Chan, Man-Loong. Grimsrud, G. Paul. Systems Control, inc. Energy Systems Division. United States. Bureau of Reclamation.	Systems Control, Energy Systems Division,	1979		google	UCR	https://catalog.hathitrust.org/Record/102224376	Full View
SHYFEA/PRESHY (Sm̲all H̲Yḏroelectric Fi̲nancial/Ec̲onomic Aṉalysis/P̲ṞEp̲rocessor to S̲H̲Yf̲ea)	Klotz, Louis H. United States. Department of Energy. University of New Hampshire. College of Engineering and Physical Sciences.	U.S. Dept. of Energy ; available from National Technical Information Service,	1983		google	UCR	https://catalog.hathitrust.org/Record/102224377	Full View
Environmental impact statement for the geothermal leasing program in compliance with Section 102(2)(C) of the National Environmental Policy Act of 1969	United States. Department of the Interior.		1971		google	UCR	https://catalog.hathitrust.org/Record/102224378	Full View
Geothermal resource development	United States. Congress. Senate. Committee on Interior and Insular Affairs.	U.S. Govt. Print. Off.]	1970		google	UCR	https://catalog.hathitrust.org/Record/102224379	Limited View
PLS listing, power facilities operated by the Bureau of Reclamation	United States. Bureau of Reclamation.	U.S. Dept. of the Interior, Bureau of Reclamation,	1974		google	UCR	https://catalog.hathitrust.org/Record/102224380	Full View
Request for proposals DE-RP07-80ID12171	United States. Department of Energy. Idaho Operations Office.	Contracts Management Division, Department of Energy, Idaho Operations Office,	1980		google	UCR	https://catalog.hathitrust.org/Record/102224383	Full View
Recreation development at licensed hydropower projects	United States. Office of Hydropower Licensing. Division of Project Compliance and Administration.	Division of Project Compliance and Administration, Office of Hydropower Licensing, Federal Energy Regulatory Commission,	1996		google	UCR	https://catalog.hathitrust.org/Record/102224384	Full View
Commissioner's power O&M team report	United States. Bureau of Reclamation.	The Bureau,	1997		google	UCR	https://catalog.hathitrust.org/Record/102224385	Full View
Hydropower relicensing	United States. General Accounting Office. United States. Congress. House. Committee on Appropriations. Subcommittee on Department of the Interior and Related Agencies.	The Office,	2000		google	UCR	https://catalog.hathitrust.org/Record/102224386	Full View
Economic and engineering analyses of the proposed section 316(b) new facility rule	United States. Environmental Protection Agency. Office of Science and Technology.	U. S. Environmental Protection Agency,	2000		google	UCR	https://catalog.hathitrust.org/Record/102224387	Full View
Half Moon Cove tidal project	Passamaquoddy Tribal Council. United States. Department of Energy. Chas. T. Main, Inc.	Charles T. Main, Inc. ; Available from the National Technical Information Service,	1980		google	UCR	https://catalog.hathitrust.org/Record/102224388	Full View
Special studies for Northern Great Plains Resources Program	Pacific N.W. Environmental Research Laboratory. Thermal Pollution Branch.	Pacific Northwest Environmental Research Laboratory, Northwest Environmental Research Center,	1974		google	UCR	https://catalog.hathitrust.org/Record/102224389	Full View
State energy conservation program needs reassessing	United States. General Accounting Office. United States. Department of Energy.	U.S. General Accounting Office,	1982	GA 1.13:EMD-82-39/sum.	google	UCR	https://catalog.hathitrust.org/Record/102224390	Full View
Alternative energy facility siting policies for urban coastal areas	Morell, David. Singer, Grace. United States. Department of Energy. Regulatory Analysis Division.	U.S. Dept. of Energy] ; available from National Technical Information Service,	1980		google	UCR	https://catalog.hathitrust.org/Record/102224391	Full View
Guidelines for the preparation of environmental reports for fossil-fueled steam electric generating stations	Baird, Justus N. United States. Office of Water Research and Technology.	United Engineers & Constructors Inc.,	1975		google	UCR	https://catalog.hathitrust.org/Record/102224392	Full View
Comparative assessment of water use and environmental implications of coal slurry pipelines	Geological Survey (U.S.) Palmer, Richard N.	U.S. Geological Survey,	1977		google	UCR	https://catalog.hathitrust.org/Record/102224393	Full View
Water conservation and pollution in coal conversion processes	Water Purification Associates. Industrial Environmental Research Laboratory (Research Triangle Park, N.C.)	Environmental Protection Agency, Office of Research and Development, Industrial Environmental Research Laboratory; for sale by the National Information Service,	1977	EP 1.23/8:600/7-77-065	google	UCR	https://catalog.hathitrust.org/Record/102224394	Full View
Coal remining statistical support document	United States. Environmental Protection Agency. Engineering and Analysis Division. United States. Environmental Protection Agency. Office of Science and Technology. United States. Environmental Protection Agency. Office of Water.	United States Environmental Protection Agency, Office of Water,	2000		google	UCR	https://catalog.hathitrust.org/Record/102224396	Full View
Deliberations and research recommendations from Workshop held in Rockville, Md., Oct. 15-16, 1973	Offshore Nuclear Power Siting Workshop (1973 : Rockville, Md.) U.S. Atomic Energy Commission. Division of Biomedical and Environmental Research.	Division of Biomedical and Environment Research, Atomic Energy Commission ; For sale by the Supt. of Docs., U. S. Govt. print. Off.,	1974		google	UCR	https://catalog.hathitrust.org/Record/102224398	Full View
Solar/hydro integration	United States. Department of Energy. United States. Department of the Interior. Water and Power Resources Service.	The Service,	1980		google	UCR	https://catalog.hathitrust.org/Record/102224400	Full View
Supplement to "Seafloor foundations : analysis of case histories"	Raecke, D. A. Anderson, D. G. Naval Construction Battalion Center (Port Hueneme, Calif.). Civil Engineering Laboratory. United States. Naval Facilities Engineering Command.	Naval Civil Engineering Laboratory ; available from National Technical Information Service,	1973		google	UCR	https://catalog.hathitrust.org/Record/102224403	Full View
Emplacement of a heavy load onto a seafloor foundation	Wilson, J. V. Mittleman, J. R. Hitchcock, R. D. Naval Civil Engineering Laboratory (Port Hueneme, Calif.)	Naval Facilities Engineering Command,	1972		google	UCR	https://catalog.hathitrust.org/Record/102224404	Full View
Offshore drilling	Habercom, Guy E.	National Technical Information Service,	1975		google	UCR	https://catalog.hathitrust.org/Record/102224406	Full View
Foundations in marine environments, 1964 - July, 1981	United States. National Technical Information Service.	U.S. Dept. of Commerce, National Technical Information Service,	1981		google	UCR	https://catalog.hathitrust.org/Record/102224407	Full View
Morison's equation and the wave forces on offshore structures	Sarpkaya, Turgut, 1928- Naval Civil Engineering Laboratory (Port Hueneme, Calif.)	Naval Civil Engineering Laboratory,	1981		google	UCR	https://catalog.hathitrust.org/Record/102224408	Full View
Shut off the water, the root zone is full	Engineering and Research Center (U.S.)	Bureau of Reclamation, Engineering and Research Center,	1974		google	UCR	https://catalog.hathitrust.org/Record/102224410	Full View
Weather and soil moisture based landscape irrigation scheduling	United States. Bureau of Reclamation. Southern California Area Office. Water Resources Planning and Operations Support Group (U.S.)	U.S. Dept. of Interior, Bureau of Reclamation,	2006		google	UCR	https://catalog.hathitrust.org/Record/102224416	Full View
Benefits of using cost-share funds for above-ground irrigation system components	El Dorado Irrigation District (Calif.). Water Conservation Committee. United States. Soil Conservation Service.	The Service,	1983		google	UCR	https://catalog.hathitrust.org/Record/102224420	Full View
Tests of soil-fly ash mixtures for soil stabilization and canal lining	Jones, Chester W. Engineering and Research Center (U.S.). Geotechniccal Branch.	Geotechnical Branch, Division of Research and Laboratory Services, Engineering and Research Center, U.S. Dept. of the Interior, Bureau of Reclamation ; Available from National Technical Information Service, Operations Division,	1986	I 27.60:86-9	google	UCR	https://catalog.hathitrust.org/Record/102224421	Full View
Long-term changes in the properties of soil linings for canal seepage control	Jones, Chester W. Engineering and Research Center (U.S.). Geotechnical Branch.	Geotechnical Branch, Division of Research and Laboratory Services, Engineering and Research Center, U.S. Dept. of the Interior, Bureau of Reclamation ; Available from N.T.I.S.,	1987		google	UCR	https://catalog.hathitrust.org/Record/102224422	Full View
Compacted earth canal linings of low-plasticity soil	Glickman, Arthur P. Baumgarten, Robert. United States. Bureau of Reclamation. Denver Office. Geotechnical Services Branch.	Bureau of Reclamation, Research and Laboratory Services Division, Geotechnical Services Branch,	1990		google	UCR	https://catalog.hathitrust.org/Record/102224423	Full View
Methodology for determining applicability/implementation of the canal lining/piping	United States. Bureau of Reclamation. Mid-Pacific Regional Office.	U.S. Dept. of the Interior, Bureau of Reclamation, Mid-Pacific Regional Office,	1998		google	UCR	https://catalog.hathitrust.org/Record/102224424	Full View
Factors influencing water and particle movement into drains	Cannell, Glen H., 1919- United States. Science and Education Administration. Agricultural Research. Western Region.	Agricultural Research (Western Region), Science and Education Administration, U.S. Dept. of Agriculture,	1979	A 106.13:W-8	google	UCR	https://catalog.hathitrust.org/Record/102224426	Full View
Drainage from level and sloping land	Carlson, E. J. Engineering and Research Center (U.S.)	U.S. Dept. of the Interior, Bureau of Reclamation, Engineering and Research Center,	1971		google	UCR	https://catalog.hathitrust.org/Record/102224427	Full View
Simulation & optimization of acid mine drainage abatement alternatives	Selekoff, J. S. Taylor, R. S. Young, George K., 1911- Water Resources Engineers, inc.	Water Resources Engineers,	1973		google	UCR	https://catalog.hathitrust.org/Record/102224429	Full View
Informal monograph on riverine sand dunes	Kennedy, John F. Odgaard, A. Jacob. U.S. Army Engineer Waterways Experiment Station. Coastal Engineering Research Center (U.S.) United States. Army. Corps of Engineers. Improvement of Operations and Maintenance Techniques Research Program.	U.S. Army Engineer Waterways Experiment Station ; Available from National Technical Information Service,	1991		google	UCR	https://catalog.hathitrust.org/Record/102224590	Full View
Local planning groups & development of dredged material management plans	United States. Army. Corps of Engineers. United States. Environmental Protection Agency. Office of Water. National Dredging Team (U.S.)	National Dredging Team,	1998		google	UCR	https://catalog.hathitrust.org/Record/102224580	Full View
Finite element models for sediment and contaminant transport in surface waters	Onishi, Yasuo. Pacific Northwest Laboratory. U.S. Nuclear Regulatory Commission.	Battelle, Pacific Northwest Laboratories,	1977		google	UCR	https://catalog.hathitrust.org/Record/102224583	Full View
The scope and nature of shoreline erosion problems at Corps of Engineers reservoir projects	Allen, Hollis H. Wade, F. John. U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers. Water Operations Technical Support Program.	U.S. Army Engineer Waterways Experiment Station ; Available from National Technical Information Service,	1991		google	UCR	https://catalog.hathitrust.org/Record/102224589	Full View
Summary of a workshop interpreting bioaccumulation data collected during regulatory evaluations of dredged material	Interpreting the Consequences of Bioaccmulation Related to Dredged Material Assessment and Management Activities (1995 : Denver, Colorado) Bridges, Todd S. Dredging Operations Technical Support Program (U.S. Army Engineer Waterways Experiment Station) U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station,	1996		google	UCR	https://catalog.hathitrust.org/Record/102224573	Full View
Effectiveness of a sea turtle-deflecting hopper dredge draghead in Port Canaveral Entrance Channel, Florida	Nelson, David A. Shafer, Deborah J. Dredging Operations Technical Support Program (U.S. Army Engineer Waterways Experiment Station) U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers. Jacksonville District.	U.S. Army Engineer Waterways Experiment Station,	1996		google	UCR	https://catalog.hathitrust.org/Record/102224574	Full View
Long-term effectiveness of capping in isolating Dutch Kills sediment from biota and overlying water	Brannon, James M. United States. Army. Corps of Engineers. New York District. U.S. Army Engineer Waterways Experiment Station.	U.S. Army Engineer Waterways Experiment Station ; available from National Technical Information Service,	1986		google	UCR	https://catalog.hathitrust.org/Record/102224575	Full View
Program documentation and user's guide	Stark, Timothy D. U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers. Dredging Operations Technical Support Program (U.S. Army Engineer Waterways Experiment Station. Environmental Laboratory)	U.S. Army Engineer Waterways Experiment Station ; Available from National Technical Information Service,	1991		google	UCR	https://catalog.hathitrust.org/Record/102224576	Full View
Evaluating environmental effects of dredged material management alternatives	United States. Environmental Protection Agency. United States. Army. Corps of Engineers.	Environmental Protection Agency,	1992		google	UCR	https://catalog.hathitrust.org/Record/102224581	Full View
